nemo 4.8.4-1
neofetch 7.1.0-2
neon 0.31.2-1
nerd-fonts-complete 2.1.0-3
net-tools 1.60.20181103git-2
nettle 3.6-1
networkmanager 1.26.4-1
networkmanager-qt 5.77.0-1
nginx-mainline 1.19.6-2
nginxbeautifier 1.0.18-1
ngrok 2.3.35-1
nitrogen 1.6.1-3
nm-connection-editor 1.18.0-1
node-gyp 7.1.1-1
nodejs 15.5.0-1
noto-fonts 20201206-1
npm 6.14.10-1
npth 1.6-2
nspr 4.29-1
nss 3.60-1
ntfs-3g 2017.3.23-5
okular 20.12.0-1
oniguruma 6.9.6-1
openal 1.21.0-1
openbsd-netcat 1.217_2-1
opencore-amr 0.1.5-5
openexr 2.5.3-6
openjdk8-doc 8.u275-1
openjdk8-src 8.u275-1
openjpeg2 2.4.0-1
openmpi 4.0.5-2
openresolv 3.11.0-1
openssh 8.4p1-2
openssl 1.1.1.i-2
opera 73.0.3856.344-1
opera-ffmpeg-codecs 87.0.4280.88-1
opus 1.3.1-2
orc 0.4.32-1
os-prober 1.77-2
ostree 2020.8-1
p11-kit 0.23.22-1
pacman 5.2.2-1
pacman-contrib 1.4.0-1
pacman-mirrorlist 20201205-1
pam 1.5.0-2
paman 0.9.4-6
pambase 20200721.1-2
pango 1:1.48.0-1
pango-perl 1.227-13
pangomm 2.42.2-1
parted 3.3-2
patch 2.7.6-8
pavucontrol 1:4.0-2
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.36-1
perl 5.32.0-3
perl-clone 0.45-2
perl-encode-locale 1.05-7
perl-error 0.17029-2
perl-file-listing 6.11-1
perl-html-parser 3.75-1
perl-html-tagset 3.20-10
perl-http-cookies 6.09-1
perl-http-daemon 6.06-2
perl-http-date 6.05-3
perl-http-message 6.26-1
perl-http-negotiate 6.01-8
perl-io-html 1.004-1
perl-libintl-perl 1.32-1
perl-libwww 6.51-1
perl-locale-gettext 1.07-10
perl-lwp-mediatypes 6.02-8
perl-mailtools 2.21-4
perl-net-http 6.19-4
perl-timedate 2.33-2
perl-try-tiny 0.30-5
perl-uri 5.05-1
perl-www-robotrules 6.02-8
phonon-qt5 4.11.1-2
phonon-qt5-gstreamer 4.10.0-2
php 7.4.13-2
php-fpm 7.4.13-2
phpmyadmin 5.0.4-1
picom 8.2-1
pinentry 1.1.0-5
pipewire 0.3.18-1
pixman 0.40.0-1
pkgconf 1.7.3-1
playerctl-git 2.1.1.r17.gcb05577-1
polkit 0.118-1
polkit-qt5 0.113.0-2
poppler 20.12.1-1
poppler-data 0.4.10-1
poppler-glib 20.12.1-1
poppler-qt5 20.12.1-1
popt 1.18-1
portaudio 1:19.6.0-7
postgresql 13.1-3
postgresql-libs 13.1-3
postman-bin 7.27.1-1
potrace 1.16-2
ppp 2.4.7-7
procps-ng 3.3.16-2
protobuf 3.12.4-3
protobuf-c 1.3.3-2
psmisc 23.3-4
pulseaudio 14.0-1
pulseaudio-alsa 1:1.2.2-2
pulseaudio-bluetooth 14.0-1
purpose 5.77.0-1
python 3.9.1-1
python-appdirs 1.4.4-3
python-asn1crypto 1.4.0-3
python-attrs 20.3.0-3
python-automat 20.2.0-4
python-beaker 1.11.0-6
python-beautifulsoup4 4.9.3-3
python-cachecontrol 0.12.6-3
python-cairo 1.20.0-3
python-certifi 2020.6.20-3
python-cffi 1.14.4-1
python-chardet 3.0.4-7
python-click 7.1.2-3
python-colorama 0.4.4-3
python-constantly 15.1.0-8
python-contextlib2 0.6.0.post1-3
python-cryptography 3.3.1-1
python-dbus 1.2.16-3
python-dbus-common 1.2.16-3
python-decorator 4.4.2-3
python-distlib 0.3.1-2
python-distro 1.5.0-3
python-filelock 3.0.12-5
python-geoip 1.3.2-10
python-gobject 3.38.0-3
python-html5lib 1.1-5
python-hyperlink 20.0.1-3
python-idna 2.10-3
python-incremental 17.5.0-6
python-kitchen 1.2.6-5
python-mako 1.1.3-3
python-markupsafe 1.1.1-6
python-msgpack 1.0.2-2
python-ordered-set 4.0.2-3
python-packaging 20.8-2
python-pep517 0.9.1-3
python-pew 1.2.0-5
python-pillow 8.1.0-1
python-pip 20.2.4-1
python-pipenv 2020.11.15-1
python-ply 3.11-7
python-progress 1.5-5
python-pyasn1 0.4.8-4
python-pyasn1-modules 0.2.8-3
python-pycparser 2.20-3
python-pygments 2.7.3-1
python-pyhamcrest 1.9.0-7
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-pytoml 0.1.21-6
python-pyxdg 0.26-8
python-rencode 1.0.6-5
python-requests 2.25.1-1
python-resolvelib 0.5.4-1
python-retrying 1.3.3-9
python-service-identity 18.1.0-6
python-setproctitle 1.2.1-1
python-setuptools 1:51.1.1-1
python-shiboken2 5.15.2-2
python-six 1.15.0-3
python-soupsieve 2.1.0-1
python-toml 0.10.2-3
python-twisted 20.3.0-3
python-urllib3 1.26.1-1
python-virtualenv 20.2.2-1
python-virtualenv-clone 0.5.4-3
python-webencodings 0.5.1-6
python-xcffib 0.11.1-1
python-zope-interface 5.2.0-3
python2 2.7.18-2
qca 2.3.1-4
qml-xwayland-git r86.3d6335b-1
qt5-accountsservice-git v1.3.0.r21.gcc8bbdc-1
qt5-base 5.15.2-2
qt5-declarative 5.15.2-1
qt5-graphicaleffects 5.15.2-1
qt5-gsettings-git v1.3.0.r26.g7215f41-1
qt5-location 5.15.2-2
qt5-multimedia 5.15.2-1
qt5-quickcontrols 5.15.2-1
qt5-quickcontrols2 5.15.2-1
qt5-sensors 5.15.2-1
qt5-speech 5.15.2-1
qt5-svg 5.15.2-1
qt5-tools 5.15.2-1
qt5-udev-git r77.f80ba68-1
qt5-wayland 5.15.2-1
qt5-webchannel 5.15.2-1
qt5-webengine 5.15.2-3
qt5-webkit 5.212.0alpha4-9
qt5-x11extras 5.15.2-1
raptor 2.0.15-15
rasqal 1:0.9.33-4
rav1e 0.3.4-1
re2 1:20201101-1
readline 8.1.0-2
recode 3.7.8-1
redland 1:1.0.17-8
rest 0.8.1-3
rhash 1.4.0-1
rofi 1.6.1-1
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-6
rtv 1.27.0-3
rubberband 1.9-1
run-parts 4.8.6.1-2
runc 1.0.0rc92-1
sbc 1.5-1
scrot 1.4-1
sddm 0.19.0-3
sdl 1.2.15-14
sdl2 2.0.14-1
sed 4.8-1
semver 7.3.4-1
serd 0.30.6-1
sg3_utils 1.45-1
shaderc 2020.3-1
shadow 4.8.1-4
shared-mime-info 2.0+1+g6bf9e4f-2
signon-kwallet-extension 20.12.0-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-2
signond 8.60-3
simplescreenrecorder 0.4.3-1
skypeforlinux-stable-bin 8.63.0.76-1
slack-desktop 4.11.1-1
slang 2.3.2-2
smbclient 4.13.3-2
snappy 1.1.8-2
solid 5.77.0-1
sonnet 5.77.0-1
sord 0.16.6-1
sound-theme-freedesktop 0.8-4
soundtouch 2.2-1
spandsp 0.0.6-3
speedtest-cli 2.1.2-3
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2020.4-1
spotify 1:1.1.10.546-4
sqlite 3.34.0-1
sqlite-analyzer 3.34.0-1
sqlitebrowser 3.12.0-1
sratom 0.6.6-1
srt 1.4.2-1
startup-notification 0.12-7
sublime-text 3211-1
sudo 1.9.4.p2-2
suitesparse 5.8.1-1
svgcleaner 0.9.5-2
svt-hevc 1.5.0-1
sysfsutils 2.1.0-11
sysstat 12.4.0-2
systemd 247.2-1
systemd-libs 247.2-1
systemd-sysvcompat 247.2-1
taglib 1.11.1-4
taglib-sharp-git 2.1.0.0.r248.g60e7588-2
talloc 2.3.1-5
tar 1.32-3
tbb 2020.3-1
tcl 8.6.10-2
tdb 1.4.3-4
teams 1.3.00.30857-1
telegram-desktop-bin 2.1.13-1
telegram-purple 1.4.3-1
terminology-themes-git r107.f807916-1
tevent 1:0.10.2-3
texinfo 6.7-3
thin-provisioning-tools 0.9.0-1
threadweaver 5.77.0-1
thunderbird 78.6.0-2
tracker3 3.0.2-2
tree 1.8.0-2
tslib 1.22-1
ttf-ancient-fonts 2.60-2
ttf-dejavu 2.37+18+g9b5d1b2f-2
ttf-liberation 2.1.2-1
ttf-roboto 2.138-4
tumbler 4.16.0-1
twolame 0.4.0-2
tzdata 2020f-1
uchardet 0.0.7-1
udisks2 2.9.1-1
uget 2.2.3-1
uget-integrator 1.0.0-2
